x1,x2,y
0.0,0.0,1.4996099865401387
0.0,0.1,1.35026597559512
0.0,0.2,1.1856977498424892
0.0,0.30000000000000004,1.055392541531737
0.0,0.4,0.9006579975067082
0.0,0.5,0.7370862119834882
0.0,0.6000000000000001,0.5990900340420511
0.0,0.7000000000000001,0.4566333208917627
0.0,0.8,0.29400506453623126
0.0,0.9,0.16705498598417015
0.0,1.0,0.004367463969412812
0.0,1.1,-0.1524220177555799
0.0,1.2000000000000002,-0.312870992548349
0.0,1.3,-0.4321675980219992
0.0,1.4000000000000001,-0.611479766456162
0.0,1.5,-0.7533038241902055
0.0,1.6,-0.8939600688383945
0.0,1.7000000000000002,-1.0461901863806176
0.0,1.8,-1.1881333834530792
0.0,1.9000000000000001,-1.3506110645145046
0.0,2.0,-1.5036563214858705
0.0,2.1,-1.6431996683985812
0.0,2.2,-1.8051376311959362
0.0,2.3000000000000003,-1.9374621161918781
0.0,2.4000000000000004,-2.1172432835060673
0.0,2.5,-2.249698181745109
0.0,2.6,-2.390964473610399
0.0,2.7,-2.5552075810268216
0.0,2.8000000000000003,-2.6931154597474394
0.0,2.9000000000000004,-2.8414219893484214
0.0,3.0,-2.9969840827221375
0.0,3.1,-3.1354791771644193
0.0,3.2,-3.2998189638875526
0.0,3.3000000000000003,-3.437386069367393
0.0,3.4000000000000004,-3.5815581828379983
0.0,3.5,-3.751104316414513
0.0,3.6,-3.897454528681263
0.0,3.7,-4.033486086544405
0.0,3.8000000000000003,-4.187555464928937
0.0,3.9000000000000004,-4.352222008541097
0.0,4.0,-4.509510876323824
0.0,4.1000000000000005,-4.64582928642111
0.0,4.2,-4.801617951159678
0.0,4.3,-4.9475063448339
0.0,4.4,-5.111692553791941
0.0,4.5,-5.251303545474997
0.0,4.6000000000000005,-5.40832283326283
0.0,4.7,-5.557743167524592
0.0,4.800000000000001,-5.698564139357097
0.0,4.9,-5.8740797982398645
0.0,5.0,-6.0116947962597385
0.0,5.1000000000000005,-6.14674736038005
0.0,5.2,-6.2895502705618265
0.0,5.300000000000001,-6.449506457552811
0.0,5.4,-6.596656109555445
0.0,5.5,-6.74064921151931
0.0,5.6000000000000005,-6.917689728826296
0.0,5.7,-7.042966186746841
0.0,5.800000000000001,-7.20213385129055
0.0,5.9,-7.346789448642799
0.0,6.0,-7.496941118905227
0.0,6.1000000000000005,-7.655561953735207
0.0,6.2,-7.792965532274542
0.0,6.300000000000001,-7.9475897253398555
0.0,6.4,-8.101981162979074
0.0,6.5,-8.24294705243086
0.0,6.6000000000000005,-8.396755003398972
0.0,6.7,-8.547243356698301
0.0,6.800000000000001,-8.701623506561855
0.0,6.9,-8.853453743033704
0.0,7.0,-8.984799970853118
0.0,7.1000000000000005,-9.14723962979135
0.0,7.2,-9.303219518604735
0.0,7.300000000000001,-9.457644553543496
0.0,7.4,-9.595761705178537
0.0,7.5,-9.754660649643373
0.0,7.6000000000000005,-9.917450494499992
0.0,7.7,-10.06086515255844
0.0,7.800000000000001,-10.20673331592099
0.0,7.9,-10.365464610492445
0.0,8.0,-10.492796360065219
0.0,8.1,-10.651673286350928
0.0,8.200000000000001,-10.797324561072655
0.0,8.3,-10.954392658227023
0.0,8.4,-11.090389311974592
0.0,8.5,-11.259219578181371
0.0,8.6,-11.395057752641195
0.0,8.700000000000001,-11.556576423617729
0.0,8.8,-11.709673669317658
0.0,8.9,-11.854224872145418
0.0,9.0,-11.992284778591774
0.0,9.1,-12.153661278618856
0.0,9.200000000000001,-12.307027440611979
0.0,9.3,-12.452522129687525
0.0,9.4,-12.61666771690889
0.0,9.5,-12.752065914193723
0.0,9.600000000000001,-12.890957667777379
0.0,9.700000000000001,-13.041265638160993
0.0,9.8,-13.194246662848467
0.0,9.9,-13.345915431130429
0.1,0.0,1.742861399520246
0.1,0.1,1.587514633597945
0.1,0.2,1.4485494215410732
0.1,0.30000000000000004,1.2958998533035258
0.1,0.4,1.1387981475459859
0.1,0.5,1.0066420623476855
0.1,0.6000000000000001,0.866103345263407
0.1,0.7000000000000001,0.7046081369348078
0.1,0.8,0.541209623996084
0.1,0.9,0.3982171731169573
0.1,1.0,0.24167475649270317
0.1,1.1,0.11173052832937938
0.1,1.2000000000000002,-0.05223078763760209
0.1,1.3,-0.19953452570121666
0.1,1.4000000000000001,-0.35273802179429486
0.1,1.5,-0.48447442486306486
0.1,1.6,-0.6645354217847004
